ProfSec,Mecanico,Administrador,EngEletr
34125,26542,59280,47730
11025,12456,31980,18870
4725,3806,14040,14430
28350,25528,59280,33855
5775,6574,21060,36075
11550,20068,45240,42180
33600,39790,60060,48285
6825,8304,28860,22200
18375,13840,23400,25530
28875,25950,54600,33855
56700,37022,71760,53835
11500,5822,20280,17205
4725,6228,13260,12210
20745,17646,31200,21090
32550,36330,59280,46065
14700,12110,32760,31635
2100,1730,20280,4440
12600,13494,17160,31080
29400,23528,51480,34410
27300,32870,67080,53280
24150,15916,40560,43845
7350,8650,53040,42735
32025,39946,65520,46065
9450,11072,74470,29970
8925,5190,24960,8325
28350,20068,34320,31080
7875,9688,14040,14430
30450,16954,63180,34410
29925,25950,44460,39960
52500,34600,78000,55500
